airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14,yearly_miles_85_14
Aer Lingus,320906734,2,0,0,0,0,0,3.00699E+11
Aeroflot*,1197672318,76,14,128,6,1,88,1.12225E+12
Aerolineas Argentinas,385803648,6,0,0,1,0,0,3.61509E+11
Aeromexico*,596871813,3,1,64,5,0,0,5.59285E+11
Air Canada,1865253802,2,0,0,2,0,0,1.74779E+12
Air France,3004002661,14,4,79,6,2,337,2.81483E+12
Air India*,869253552,2,1,329,4,1,158,8.14515E+11
Air New Zealand*,710174817,3,0,0,5,1,7,6.65454E+11
Alaska Airlines*,965346773,5,0,0,5,1,88,9.04557E+11
Alitalia,698012498,7,2,50,4,0,0,6.54057E+11
All Nippon Airways,1841234177,3,1,1,7,0,0,1.72529E+12
American*,5228357340,21,5,101,17,3,416,4.89912E+12
Austrian Airlines,358239823,1,0,0,1,0,0,3.35681E+11
Avianca,396922563,5,3,323,0,0,0,3.71927E+11
British Airways*,3179760952,4,0,0,6,0,0,2.97952E+12
Cathay Pacific*,2582459303,0,0,0,2,0,0,2.41984E+12
China Airlines,813216487,12,6,535,2,1,225,7.62006E+11
Condor,417982610,2,1,16,0,0,0,3.91661E+11
COPA,550491507,3,1,47,0,0,0,5.15826E+11
Delta / Northwest*,6525658894,24,12,407,24,2,51,6.11472E+12
Egyptair,557699891,8,3,282,4,1,14,5.2258E+11
El Al,335448023,1,1,4,1,0,0,3.14324E+11
Ethiopian Airlines,488560643,25,5,167,5,2,92,4.57795E+11
Finnair,506464950,1,0,0,0,0,0,4.74572E+11
Garuda Indonesia,613356665,10,3,260,4,2,22,5.74732E+11
Gulf Air,301379762,1,0,0,3,1,143,2.82401E+11
Hawaiian Airlines,493877795,0,0,0,1,0,0,4.62777E+11
Iberia,1173203126,4,1,148,5,0,0,1.09932E+12
Japan Airlines,1574217531,3,1,520,0,0,0,1.47509E+12
Kenya Airways,277414794,2,0,0,2,2,283,2.59945E+11
KLM*,1874561773,7,1,3,1,0,0,1.75652E+12
Korean Air,1734522605,12,5,425,1,0,0,1.6253E+12
LAN Airlines,1001965891,3,2,21,0,0,0,9.3887E+11
Lufthansa*,3426529504,6,1,2,3,0,0,3.21075E+12
Malaysia Airlines,1039171244,3,1,34,3,2,537,9.73732E+11
Pakistan International,348563137,8,3,234,10,2,46,3.26613E+11
Philippine Airlines,413007158,7,4,74,2,1,1,3.86999E+11
Qantas*,1917428984,1,0,0,5,0,0,1.79668E+12
Royal Air Maroc,295705339,5,3,51,3,0,0,2.77084E+11
SAS*,682971852,5,0,0,6,1,110,6.39964E+11
Saudi Arabian,859673901,7,2,313,11,0,0,8.05538E+11
Singapore Airlines,2376857805,2,2,6,2,1,83,2.22718E+12
South African,651502442,2,1,159,1,0,0,6.10476E+11
Southwest Airlines,3276525770,1,0,0,8,0,0,3.0702E+12
Sri Lankan / AirLanka,325582976,2,1,14,4,0,0,3.0508E+11
SWISS*,792601299,2,1,229,3,0,0,7.42689E+11
TACA,259373346,3,1,3,1,1,3,2.4304E+11
TAM,1509195646,8,3,98,7,2,188,1.41416E+12
TAP - Air Portugal,619130754,0,0,0,0,0,0,5.80143E+11
Thai Airways,1702802250,8,4,308,2,1,1,1.59557E+12
Turkish Airlines,1946098294,8,3,64,8,2,84,1.82355E+12
United / Continental*,7139291291,19,8,319,14,2,109,6.68971E+12
US Airways / America West*,2455687887,16,7,224,11,2,23,2.30105E+12
Vietnam Airlines,625084918,7,3,171,1,0,0,5.85722E+11
Virgin Atlantic,1005248585,1,0,0,0,0,0,9.41946E+11
Xiamen Airlines,430462962,9,1,82,2,0,0,4.03356E+11
